0	121858	100074
1	91703	99832
2	91329	99946
3	122054	100858
4	91489	100242
5	91153	99570
6	91440	99913
7	122027	99959
8	91384	99972
9	91636	99818
10	122051	100047
11	91364	99582
12	91395	100546
13	91347	100398
14	122163	99688
15	91629	100225
16	91711	99684
17	91390	99628
18	122176	99636
19	91234	100210
20	91994	99942
21	122259	100230
22	91349	100546
23	91579	100601
24	91413	100160
25	122069	100283
26	92014	99595
27	92135	100092
28	122314	99723
29	91452	99956
30	91289	99804
31	91532	99926
32	121423	99343
33	91730	100216
34	91289	99326
35	91679	100078
36	122245	100652
37	91612	99921
38	91723	99729
39	122242	100796
40	91471	100284
41	91435	99802
42	91396	100060
43	121704	100312
44	91525	99738
45	91618	100464
46	122353	100753
47	91750	99771
48	91584	100491
49	91722	100241
50	122070	100057
51	91824	100060
52	91215	100147
53	91482	99941
54	122337	100036
55	91709	99497
56	91629	99902
57	122134	100463
58	91421	99669
59	91510	100332
60	92053	99911
61	121935	100216
62	91764	100053
63	91655	100612
64	91638	99774
65	122109	99636
66	91615	100373
67	91393	100074
68	121860	100250
69	91649	100117
70	91255	99937
71	91967	100193
72	121633	99846
73	91826	100773
74	91933	100237
75	122217	99758
76	91542	100270
77	91494	100122
78	91563	99696
79	121743	100520
80	91480	99746
81	91435	99632
82	91889	99790
83	122357	100213
84	91791	100481
85	91172	100049
86	121962	99900
87	91397	99787
88	91610	99632
89	91512	99922
90	121409	100472
91	91932	99581
92	91816	99763
93	121976	99276
94	91723	100068
95	91458	99502
96	91302	100036
97	122202	100040
98	91503	100153
99	91633	99953
100	91453	100285
101	121970	99639
102	91773	99989
103	91314	99622
104	122564	99951
105	91375	99971
106	91348	99986
107	91346	100262
108	122028	100812
109	91322	100366
110	91275	99898
111	91804	99383
112	122539	99681
113	91794	100686
114	91828	99950
115	121907	101046
116	91551	100134
117	91397	99545
118	91509	100080
119	122351	100309
120	91733	100060
121	91343	99661
122	121952	99790
123	91109	99865
124	91670	100156
125	91844	100575
126	122143	100015
127	91161	99973
128	91691	99822
129	91628	99474
130	121794	100467
131	91509	99993
132	91667	100266
133	121728	99764
134	91098	99640
135	91390	100367
136	91639	100470
137	122380	100596
138	91716	99596
139	91833	100358
140	122080	100369
141	91381	100029
142	91741	99853
143	91665	99763
144	122173	100213
145	91861	99496
146	91501	100435
147	91826	100200
148	122320	99958
149	91364	99852
150	91439	99633
151	122508	100016
152	91468	100028
153	91244	99328
154	91313	99810
155	121232	99812
156	91558	99526
157	91459	99721
158	91298	100133
159	122031	100241
160	91594	100489
161	91580	99715
162	122259	100535
163	91760	99712
164	91327	99654
165	91369	99617
166	122316	99989
167	91333	99589
168	91924	99571
169	121818	100478
170	91624	99742
171	91683	99707
172	91730	99989
173	122028	100368
174	91265	99974
175	91738	99773
176	91376	100048
177	122006	100038
178	91446	100040
179	91673	99996
180	122334	100135
181	91503	100307
182	91595	99767
183	91226	100326
184	121889	100203
185	91769	99565
186	91466	100118
187	122408	99933
188	91274	100061
189	91639	99252
190	91293	99801
191	121820	99789
192	91663	99682
193	92005	100031
194	91474	100140
195	122245	99513
196	91517	99991
197	91392	100158
198	122134	99863
199	91491	100291
200	91607	100014
201	91284	99871
202	122283	99644
203	91533	100256
204	92067	99642
205	122735	100187
206	91727	99509
207	91741	99874
208	91712	99638
209	122293	99802
210	91935	100379
211	91671	100008
212	91250	99835
213	122087	99651
214	91481	100517
215	91095	99673
216	121993	99561
217	91391	99671
218	91549	100719
219	91474	100369
220	122326	99969
221	91838	99673
222	91494	99958
223	91636	100237
224	121901	100106
225	91761	100035
226	91600	100552
227	121930	100134
228	91859	99617
229	91624	100152
230	91743	99668
231	122377	100067
232	91549	99835
233	91195	100044
234	121993	99762
235	91363	99811
236	91610	100178
237	91019	100374
238	121937	99740
239	91567	100222
240	91568	99631
241	91670	100480
242	122246	100213
243	91590	100320
244	91518	100094
245	121912	100061
246	91528	100010
247	91920	99974
248	91585	99631
249	121985	100285
250	91852	99753
251	91353	100508
252	121925	99887
253	91873	99724
254	91646	99810
255	91680	100093
256	121645	100274
257	91738	99520
258	91785	100030
259	91590	99920
260	121952	99796
261	91712	99967
262	91174	99990
263	122318	99441
264	91646	100166
265	91871	100348
266	91299	99826
267	122365	99612
268	91329	99123
269	91541	100245
270	91673	99627
271	122234	100341
272	91570	100396
273	91862	100022
274	122055	100359
275	91915	100442
276	91512	100540
277	91629	100074
278	122267	99895
279	91343	100505
280	91751	99453
281	122027	100398
282	91272	99951
283	91416	99788
284	91376	100044
285	122485	100015
286	91431	99993
287	91931	100348
288	91237	100068
289	122150	100464
290	91390	99588
291	91681	99860
292	122187	100301
293	91635	99530
294	91791	100398
295	91319	100432
296	121814	100117
297	91568	99970
298	91199	99946
299	122111	100276
300	91392	100018
301	91769	100264
302	91511	99949
303	121612	99728
304	91236	99524
305	91245	100518
306	91322	100145
307	122013	100242
308	91542	100636
309	91744	100204
310	121893	100132
311	91987	100062
312	91784	100715
313	91533	100386
314	122123	99788
315	91770	100030
316	91467	99982
